change_id,401_lines_added,402_lines_deleted,403_lines_changed,404_loc,405_file_lines,406_time_of_day,407_day_of_week,408_previous_patches,409_previous_buggy_patches,410_file_age,411_commit_time,412_full_path,413_patch_lines,414_lines_inserted,415_lines_removed,500_Buggy?
37196,0,0,15,17,0,13,1,3,0,351,'2007-11-19 13:08:47+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/docid.java,0,12,5,0
37209,1,0,0,2,1171,15,2,2,0,352,'2007-11-20 15:45:09+00:00',jackrabbit-jcr-server/src/main/java/org/apache/jackrabbit/server/abstractwebdavservlet.java,34,2,0,0
37220,0,0,2,2,207,15,2,1,0,352,'2007-11-20 15:45:09+00:00',jackrabbit-jcr-server/src/main/java/org/apache/jackrabbit/server/io/ioutil.java,0,1,1,0
37244,17,0,14,35,0,10,3,5,4,124,'2007-11-21 10:45:21+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/data/datastore.java,1133,28,7,1
37255,0,0,7,9,0,10,3,2,2,124,'2007-11-21 10:45:21+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/data/filedatarecord.java,1133,2,7,0
37265,5,0,4,11,0,10,3,7,6,124,'2007-11-21 10:45:21+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/data/filedatastore.java,1133,8,3,0
37277,0,1,10,12,0,10,3,5,4,86,'2007-11-21 10:45:21+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/data/garbagecollector.java,1133,4,8,0
37289,63,0,0,64,0,10,3,0,0,0,'2007-11-21 10:45:21+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/data/db/dbdatarecord.java,1133,64,0,1
37294,603,0,0,604,0,10,3,0,0,0,'2007-11-21 10:45:21+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/data/db/dbdatastore.java,1133,604,0,1
37301,0,0,18,18,0,10,3,4,4,254,'2007-11-21 10:45:21+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/persistence/bundle/abstractbundlepersistencemanager.java,1133,9,9,0
37312,11,0,29,46,0,10,3,3,3,67,'2007-11-21 10:45:21+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/persistence/bundle/util/connectionrecoverymanager.java,1133,31,15,1
37323,0,0,6,6,0,10,3,2,2,65,'2007-11-21 10:45:21+00:00',jackrabbit-core/src/test/java/org/apache/jackrabbit/core/data/garbagecollectortest.java,1133,3,3,0
37378,14,0,29,48,0,17,5,7,6,355,'2007-11-23 17:27:55+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/abstractindex.java,289,45,3,0
37389,27,0,0,30,0,17,5,1,0,355,'2007-11-23 17:27:55+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/committableindexreader.java,289,30,0,0
37400,53,0,19,80,0,17,5,2,1,355,'2007-11-23 17:27:55+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/readonlyindexreader.java,289,73,7,0
37411,0,0,2,2,0,17,5,5,2,355,'2007-11-23 17:27:55+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/volatileindex.java,0,1,1,0
37423,0,0,11,14,207,1,2,2,2,24,'2007-11-27 01:29:14+00:00',jackrabbit-core/src/test/java/org/apache/jackrabbit/core/integration/preparetestrepository.java,0,8,6,0
37435,2,0,0,3,128,15,2,5,5,97,'2007-11-27 15:11:24+00:00',jackrabbit-spi/src/main/java/org/apache/jackrabbit/spi/qvaluefactory.java,0,3,0,0
37446,0,4,0,5,0,9,3,8,7,359,'2007-11-28 09:34:48+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/abstractindex.java,0,0,5,0
37458,1,2,2,7,0,9,3,15,13,359,'2007-11-28 09:38:08+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/nodeindexer.java,0,3,4,1
37470,0,0,12,14,0,10,3,3,2,359,'2007-11-28 10:23:16+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/indexmerger.java,78,7,7,0
37481,0,0,2,2,0,10,3,25,21,359,'2007-11-28 10:23:16+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/searchindex.java,0,1,1,0
37510,1,2,8,12,1644,22,3,1,0,37,'2007-11-28 22:35:10+00:00',jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/nodeimpl.java,459,6,6,1
37522,1,21,3,28,234,22,3,1,0,37,'2007-11-28 22:35:10+00:00',jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/repositoryimpl.java,459,2,26,0
37534,1,67,14,86,922,22,3,3,2,37,'2007-11-28 22:35:10+00:00',jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/sessionimpl.java,459,3,83,1
37546,1,29,2,34,534,22,3,1,0,37,'2007-11-28 22:35:10+00:00',jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/workspaceimpl.java,459,2,32,1
37558,1,2,6,9,429,22,3,1,0,37,'2007-11-28 22:35:10+00:00',jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/nodetype/nodetypemanagerimpl.java,459,4,5,0
37570,0,10,4,15,226,22,3,3,1,37,'2007-11-28 22:35:10+00:00',jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/observation/observationmanagerimpl.java,459,2,13,0
37582,0,1,6,8,50,22,3,1,0,37,'2007-11-28 22:35:10+00:00',jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/state/emptynodereferences.java,0,2,6,0
37594,3,1,6,12,189,23,3,2,2,98,'2007-11-28 23:02:41+00:00',jackrabbit-spi-commons/src/main/java/org/apache/jackrabbit/spi/commons/nodeinfoimpl.java,0,9,3,1
37617,0,0,14,20,0,9,4,3,2,261,'2007-11-29 09:39:18+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/persistence/bundle/bundlefspersistencemanager.java,93,10,10,1
37627,0,0,2,2,0,9,4,2,1,189,'2007-11-29 09:39:18+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/persistence/bundle/postgresqlpersistencemanager.java,0,1,1,0
37643,1,0,6,8,0,10,4,24,18,262,'2007-11-29 10:43:13+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/persistence/bundle/bundledbpersistencemanager.java,157,7,1,1
37654,84,0,0,85,0,10,4,0,0,0,'2007-11-29 10:43:13+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/persistence/bundle/util/connectionfactory.java,157,85,0,1
