change_id,413_patch_lines,402_lines_deleted,408_previous_patches,414_lines_inserted,403_lines_changed,409_previous_buggy_patches,415_lines_removed,404_loc,410_file_age,405_file_lines,411_commit_time,406_time_of_day,412_full_path,401_lines_added,407_day_of_week,500_Buggy?
54564,0,0,297,3,6,53,3,6,1622,2912,'2005-11-14 08:59:32+00:00',8,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/javamodelmanager.java,0,1,0
54576,411,0,10,2,4,0,2,4,1174,1034,'2005-11-14 14:12:57+00:00',14,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/parser/completionrecoverytest.java,0,1,0
54594,411,0,1,1,2,1,1,2,34,294,'2005-11-14 14:12:57+00:00',14,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/completionjavadoc.java,0,1,0
54603,411,1,10,6,8,3,9,15,34,884,'2005-11-14 14:12:57+00:00',14,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/completionjavadocparser.java,4,1,0
54611,411,0,3,1,2,0,1,2,34,61,'2005-11-14 14:12:57+00:00',14,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/completiononjavadocparamnamereference.java,0,1,0
54619,411,0,3,1,2,0,1,2,34,60,'2005-11-14 14:12:57+00:00',14,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/completiononjavadoctypeparamreference.java,0,1,0
54624,411,0,150,27,6,19,1,28,1622,3725,'2005-11-14 14:12:57+00:00',14,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/completionparser.java,18,1,0
54630,411,0,53,64,45,13,18,82,1622,843,'2005-11-14 14:12:57+00:00',14,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/completionscanner.java,21,1,0
54637,0,0,47,16,16,24,8,24,664,1516,'2005-11-14 14:12:57+00:00',14,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/parser/abstractcommentparser.java,0,1,0
54649,58,0,41,23,22,29,4,27,220,1594,'2005-11-15 02:09:08+00:00',2,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/generatedfile/generatedfilemanager.java,1,2,1
54670,830,0,0,102,0,0,0,102,0,102,'2005-11-15 16:38:00+00:00',16,org.eclipse.jdt.core/model/org/eclipse/jdt/core/util/istackmapframe.java,101,2,0
54675,830,0,0,37,0,0,0,37,0,39,'2005-11-15 16:38:00+00:00',16,org.eclipse.jdt.core/model/org/eclipse/jdt/core/util/istackmaptableattribute.java,36,2,1
54679,830,0,2,46,0,0,0,46,594,68,'2005-11-15 16:38:00+00:00',16,org.eclipse.jdt.core/model/org/eclipse/jdt/core/util/iverificationtypeinfo.java,45,2,0
54601,58,0,29,3,3,3,1,4,860,549,'2005-11-14 16:41:41+00:00',16,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/deltaprocessingstate.java,0,1,0
54608,0,0,143,4,0,14,0,4,1623,839,'2005-11-14 16:41:41+00:00',16,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/setclasspathoperation.java,3,1,0
54618,0,0,501,45,48,162,4,49,1623,4214,'2005-11-14 19:32:31+00:00',19,org.eclipse.jdt.core/model/org/eclipse/jdt/core/javacore.java,0,1,1
54634,701,0,4,68,12,0,6,74,35,518,'2005-11-14 21:34:41+00:00',21,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/javadocbugscompletionmodeltest.java,60,1,0
54642,701,0,4,33,0,0,0,33,35,482,'2005-11-14 21:34:41+00:00',21,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/javadocfieldcompletionmodeltest.java,30,1,0
54648,701,0,7,95,8,1,7,102,35,2437,'2005-11-14 21:34:41+00:00',21,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/javadocmethodcompletionmodeltest.java,80,1,0
54656,701,0,3,33,0,0,0,33,35,496,'2005-11-14 21:34:41+00:00',21,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/javadocpackagecompletionmodeltest.java,30,1,0
54662,701,0,4,77,0,0,0,77,35,1163,'2005-11-14 21:34:41+00:00',21,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/javadoctextcompletionmodeltest.java,62,1,0
54678,701,0,264,1,2,33,1,2,1623,6531,'2005-11-14 21:34:41+00:00',21,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/completionengine.java,0,1,0
54579,1298,0,0,131,0,0,0,131,0,151,'2005-11-14 16:21:59+00:00',16,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/dom/astpositionstest.java,130,1,1
54583,1298,0,22,1,0,4,0,1,1222,67,'2005-11-14 16:21:59+00:00',16,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/dom/runalltests.java,1,1,0
54600,0,100,67,465,504,17,385,850,1385,882,'2005-11-14 16:21:59+00:00',16,org.eclipse.jdt.core/dom/org/eclipse/jdt/core/dom/compilationunit.java,191,1,1
54613,423,0,65,117,2,19,2,119,657,3074,'2005-11-14 18:47:52+00:00',18,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/dom/astconverterjavadoctest.java,115,1,0
54621,423,0,68,38,0,18,0,38,1385,962,'2005-11-14 18:47:52+00:00',18,org.eclipse.jdt.core/dom/org/eclipse/jdt/core/dom/compilationunit.java,37,1,0
54626,0,41,23,58,38,3,66,124,657,598,'2005-11-14 18:47:52+00:00',18,org.eclipse.jdt.core/dom/org/eclipse/jdt/core/dom/defaultcommentmapper.java,33,1,0
54639,1803,39,38,151,91,16,93,244,182,593,'2005-11-15 00:47:56+00:00',0,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/util/aptconfig.java,99,2,1
54646,1803,0,7,3,0,2,0,3,157,58,'2005-11-15 00:47:56+00:00',0,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/util/aptpreferenceconstants.java,2,2,0
54653,1803,2,15,48,5,10,6,54,150,178,'2005-11-15 00:47:56+00:00',0,org.eclipse.jdt.apt.tests/src/org/eclipse/jdt/apt/tests/preferencestests.java,41,2,1
54666,1803,3,10,91,45,5,40,131,157,404,'2005-11-15 00:47:56+00:00',0,org.eclipse.jdt.apt.ui/src/org/eclipse/jdt/apt/ui/internal/preferences/aptconfigurationblock.java,64,2,1
54673,1803,6,8,830,295,3,33,863,157,120,'2005-11-15 00:47:56+00:00',0,org.eclipse.jdt.apt.ui/src/org/eclipse/jdt/apt/ui/internal/preferences/baseconfigurationblock.java,540,2,1
54682,1803,0,3,1,2,1,1,2,157,119,'2005-11-15 00:47:56+00:00',0,org.eclipse.jdt.apt.ui/src/org/eclipse/jdt/apt/ui/internal/preferences/basepreferencepage.java,0,2,0
54628,725,19,31,2,0,20,20,22,173,810,'2005-11-14 21:01:58+00:00',21,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/aptdispatchrunnable.java,1,1,0
54635,725,0,11,4,3,7,1,5,117,817,'2005-11-14 21:01:58+00:00',21,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/env/baseprocessorenv.java,1,1,1
54643,725,0,37,2,2,16,1,3,181,592,'2005-11-14 21:01:58+00:00',21,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/util/aptconfig.java,0,1,0
54651,725,0,6,1,2,2,1,2,157,58,'2005-11-14 21:01:58+00:00',21,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/util/aptpreferenceconstants.java,0,1,0
54657,725,25,4,1,2,3,30,31,154,228,'2005-11-14 21:01:58+00:00',21,org.eclipse.jdt.apt.tests/src/org/eclipse/jdt/apt/tests/apitests.java,0,1,0
54664,725,0,2,8,8,1,3,11,31,170,'2005-11-14 21:01:58+00:00',21,org.eclipse.jdt.apt.tests/src/org/eclipse/jdt/apt/tests/apttestbase.java,1,1,1
54671,725,4,3,1,2,2,6,7,125,438,'2005-11-14 21:01:58+00:00',21,org.eclipse.jdt.apt.tests/src/org/eclipse/jdt/apt/tests/annotationvalueconversiontests.java,0,1,0
54680,725,22,9,2,4,5,26,28,207,561,'2005-11-14 21:01:58+00:00',21,org.eclipse.jdt.apt.tests/src/org/eclipse/jdt/apt/tests/aptbuildertests.java,0,1,0
54597,32,0,56,1,2,3,1,2,1356,294,'2005-11-14 17:31:58+00:00',17,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/builder/batchimagebuilder.java,0,1,0
54606,0,0,109,1,2,5,1,2,1356,649,'2005-11-14 17:31:58+00:00',17,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/builder/javabuilder.java,0,1,0
54627,82,0,34,37,0,5,0,37,1179,1803,'2005-11-14 21:31:23+00:00',21,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/lookuptest.java,36,1,0
54641,0,0,248,2,0,25,0,2,1623,3587,'2005-11-14 21:31:23+00:00',21,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/scope.java,1,1,0
54660,192,0,16,68,2,1,1,69,1222,524,'2005-11-15 13:54:23+00:00',13,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/javamodeltests.java,66,2,0
54683,192,0,13,13,0,0,0,13,1623,174,'2005-11-15 13:54:23+00:00',13,org.eclipse.jdt.core/model/org/eclipse/jdt/core/iopenable.java,12,2,0
54622,0,0,502,1,16,163,16,17,1623,4255,'2005-11-14 20:43:07+00:00',20,org.eclipse.jdt.core/model/org/eclipse/jdt/core/javacore.java,0,1,0
54631,170,1,40,10,20,28,19,29,220,1603,'2005-11-14 22:01:25+00:00',22,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/generatedfile/generatedfilemanager.java,0,1,1
54638,170,0,2,15,11,1,4,19,4,135,'2005-11-14 22:01:25+00:00',22,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/generatedfile/generatedresourcechangelistener.java,5,1,0
54645,0,0,3,8,0,2,0,8,31,175,'2005-11-14 22:01:25+00:00',22,org.eclipse.jdt.apt.tests/src/org/eclipse/jdt/apt/tests/apttestbase.java,7,1,1
54663,0,0,6,14,22,2,14,28,5,280,'2005-11-15 16:28:06+00:00',16,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/attachedjavadoctests.java,0,2,1
54674,0,0,298,2,2,53,2,4,1624,2912,'2005-11-15 21:17:06+00:00',21,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/javamodelmanager.java,0,2,0
54609,143,0,71,1,0,17,0,1,1180,3491,'2005-11-14 18:47:41+00:00',18,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/compliance_1_3.java,1,1,0
54617,143,0,72,1,0,17,0,1,1180,3494,'2005-11-14 18:47:41+00:00',18,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/compliance_1_4.java,1,1,0
54623,143,0,43,1,0,12,0,1,501,3484,'2005-11-14 18:47:41+00:00',18,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/compliance_1_5.java,1,1,0
54629,143,0,91,1,0,44,0,1,389,4234,'2005-11-14 18:47:41+00:00',18,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/enumtest.java,1,1,0
54636,143,0,28,6,0,11,0,6,728,378,'2005-11-14 18:47:41+00:00',18,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/javadoctest.java,5,1,0
54644,143,0,149,5,8,29,5,10,1623,1007,'2005-11-14 18:47:41+00:00',18,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/impl/compileroptions.java,0,1,0
54652,0,0,500,5,10,162,5,10,1623,4214,'2005-11-14 18:47:41+00:00',18,org.eclipse.jdt.core/model/org/eclipse/jdt/core/javacore.java,0,1,0
54665,319,0,14,65,2,3,1,66,502,637,'2005-11-15 15:30:22+00:00',15,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/classfiletests.java,62,2,0
54681,319,0,22,19,2,5,2,21,1623,232,'2005-11-15 15:30:22+00:00',15,org.eclipse.jdt.core/model/org/eclipse/jdt/core/imethod.java,16,2,0
54685,701,0,11,21,19,3,4,25,35,881,'2005-11-14 21:34:41+00:00',21,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/completionjavadocparser.java,2,1,0
54686,283,1,32,14,27,20,21,35,174,792,'2005-11-15 21:34:14+00:00',21,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/aptdispatchrunnable.java,0,2,0
54687,830,46,70,131,16,35,55,186,1314,1910,'2005-11-15 16:38:00+00:00',16,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/util/disassembler.java,118,2,1
54688,725,0,9,3,2,6,2,5,207,441,'2005-11-14 21:01:58+00:00',21,org.eclipse.jdt.apt.tests/src/org/eclipse/jdt/apt/tests/aptreconciletests.java,2,1,0
54689,319,0,67,74,79,15,29,103,1623,465,'2005-11-15 15:30:22+00:00',15,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/binarymethod.java,14,2,1
54690,0,52,17,13,15,6,66,79,144,774,'2005-11-15 00:47:56+00:00',0,org.eclipse.jdt.apt.ui/src/org/eclipse/jdt/apt/ui/internal/preferences/factorypathconfigurationblock.java,3,2,0
54691,0,2,106,6,0,6,3,9,1623,477,'2005-11-15 13:54:23+00:00',13,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/openable.java,5,2,0
54693,0,0,3,10,0,0,0,10,35,132,'2005-11-14 21:34:41+00:00',21,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/completiononjavadocfieldreference.java,9,1,0
54694,283,3,1,28,15,1,6,34,12,232,'2005-11-15 21:34:14+00:00',21,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/jarclassloader.java,12,2,0
54695,830,0,6,8,0,2,0,8,220,364,'2005-11-15 16:38:00+00:00',16,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/util/messages.java,7,2,0
54696,725,11,7,2,14,3,28,30,125,170,'2005-11-14 21:01:58+00:00',21,org.eclipse.jdt.apt.tests/src/org/eclipse/jdt/apt/tests/factoryloadertests.java,0,1,0
54697,0,4,58,3,0,5,5,8,1623,309,'2005-11-15 15:30:22+00:00',15,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/sourcemethod.java,2,2,0
54698,0,0,43,1,2,31,1,2,221,1617,'2005-11-15 22:02:53+00:00',22,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/generatedfile/generatedfilemanager.java,0,2,1
54700,283,0,12,1,2,8,1,2,118,820,'2005-11-15 21:34:14+00:00',21,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/env/baseprocessorenv.java,0,2,0
54701,830,0,0,162,0,0,0,162,0,170,'2005-11-15 16:38:00+00:00',16,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/util/stackmapframe.java,161,2,1
54702,725,40,1,1,2,0,43,44,74,177,'2005-11-14 21:01:58+00:00',21,org.eclipse.jdt.apt.tests/src/org/eclipse/jdt/apt/tests/filegenerationtests.java,0,1,0
54703,199,0,11,1,0,6,0,1,158,455,'2005-11-16 02:06:44+00:00',2,org.eclipse.jdt.apt.ui/src/org/eclipse/jdt/apt/ui/internal/preferences/aptconfigurationblock.java,1,3,0
54704,830,1,1,40,30,0,11,51,110,53,'2005-11-15 16:38:00+00:00',16,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/util/stackmaptableattribute.java,11,2,0
54706,350,0,23,31,0,2,0,31,1176,8618,'2005-11-16 11:08:15+00:00',11,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/parser/completionparsertest.java,30,3,0
54708,283,0,38,19,25,22,14,33,221,1225,'2005-11-15 21:34:14+00:00',21,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/env/processorenvimpl.java,1,2,1
54709,725,28,4,1,2,1,33,34,145,117,'2005-11-14 21:01:58+00:00',21,org.eclipse.jdt.apt.tests/src/org/eclipse/jdt/apt/tests/mirrordeclarationtests.java,0,1,0
54710,199,12,9,22,21,4,20,42,158,917,'2005-11-16 02:06:44+00:00',2,org.eclipse.jdt.apt.ui/src/org/eclipse/jdt/apt/ui/internal/preferences/baseconfigurationblock.java,3,3,0
54711,830,0,0,72,0,0,0,72,0,72,'2005-11-15 16:38:00+00:00',16,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/util/verificationinfo.java,71,2,0
54712,350,0,11,2,4,0,2,4,1176,1034,'2005-11-16 11:08:15+00:00',11,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/parser/completionrecoverytest.java,0,3,0
54714,0,0,42,6,7,30,2,8,221,1613,'2005-11-15 21:34:14+00:00',21,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/generatedfile/generatedfilemanager.java,0,2,1
