change_id,401_lines_added,402_lines_deleted,403_lines_changed,404_loc,405_file_lines,406_time_of_day,407_day_of_week,408_previous_patches,409_previous_buggy_patches,410_file_age,411_commit_time,412_full_path,413_patch_lines,414_lines_inserted,415_lines_removed,500_Buggy?
14749,1,0,2,5,314,0,2,4,2,306,'2011-01-18 00:07:04+00:00',lucene/src/java/org/apache/lucene/document/abstractfield.java,1059,3,2,0
14759,286,0,0,287,287,0,2,0,0,0,'2011-01-18 00:07:04+00:00',lucene/src/java/org/apache/lucene/document/docvaluesfield.java,1059,287,0,0
14765,1,0,21,26,222,0,2,4,2,306,'2011-01-18 00:07:04+00:00',lucene/src/java/org/apache/lucene/document/fieldable.java,1059,22,4,0
14776,0,155,0,156,156,0,2,5,2,97,'2011-01-18 00:07:04+00:00',lucene/src/java/org/apache/lucene/document/valuesfield.java,1059,0,156,0
14782,2,0,0,2,479,0,2,12,7,97,'2011-01-18 00:07:04+00:00',lucene/src/java/org/apache/lucene/index/values/bytes.java,1059,2,0,0
14793,1,0,4,7,373,0,2,9,7,83,'2011-01-18 00:07:04+00:00',lucene/src/java/org/apache/lucene/index/values/docvalues.java,1059,5,2,0
14804,42,0,15,69,118,0,2,2,2,42,'2011-01-18 00:07:04+00:00',lucene/src/java/org/apache/lucene/index/values/docvaluesenum.java,1059,62,7,0
14815,0,0,2,2,276,0,2,10,10,97,'2011-01-18 00:07:04+00:00',lucene/src/java/org/apache/lucene/index/values/fixedderefbytesimpl.java,1059,1,1,0
14826,0,0,2,2,244,0,2,10,9,97,'2011-01-18 00:07:04+00:00',lucene/src/java/org/apache/lucene/index/values/fixedstraightbytesimpl.java,1059,1,1,0
14838,0,0,2,2,46,0,2,5,5,97,'2011-01-18 00:07:04+00:00',lucene/src/java/org/apache/lucene/index/values/ints.java,1059,1,1,0
14849,0,0,4,6,275,0,2,8,4,83,'2011-01-18 00:07:04+00:00',lucene/src/java/org/apache/lucene/index/values/multidocvalues.java,1059,3,3,0
14860,34,0,0,48,52,0,2,2,2,42,'2011-01-18 00:07:04+00:00',lucene/src/java/org/apache/lucene/index/values/perdocfieldvalues.java,1059,48,0,0
14871,27,0,27,60,66,0,2,4,1,79,'2011-01-18 00:07:04+00:00',lucene/src/java/org/apache/lucene/index/values/sourcecache.java,1059,57,3,0
14882,1,2,0,5,80,0,2,2,1,42,'2011-01-18 00:07:04+00:00',lucene/src/java/org/apache/lucene/index/values/type.java,1059,2,3,0
14761,0,0,18,18,287,8,3,1,1,22,'2011-02-09 08:24:19+00:00',lucene/src/java/org/apache/lucene/document/docvaluesfield.java,848,9,9,0
14772,0,1,2,3,131,8,3,18,6,328,'2011-02-09 08:24:19+00:00',lucene/src/java/org/apache/lucene/index/docfieldprocessor.java,848,1,2,0
14784,0,1,5,7,356,8,3,11,1,328,'2011-02-09 08:24:19+00:00',lucene/src/java/org/apache/lucene/index/docfieldprocessorperthread.java,848,1,6,0
14795,0,0,12,12,436,8,3,13,11,328,'2011-02-09 08:24:19+00:00',lucene/src/java/org/apache/lucene/index/fieldinfos.java,848,6,6,0
14806,20,0,0,21,175,8,3,14,7,308,'2011-02-09 08:24:19+00:00',lucene/src/java/org/apache/lucene/index/codecs/codecprovider.java,848,21,0,0
14817,0,0,2,2,295,8,3,7,2,105,'2011-02-09 08:24:19+00:00',lucene/src/java/org/apache/lucene/index/codecs/docvalues/docvaluescodec.java,848,1,1,0
