change_id,401_lines_added,402_lines_deleted,403_lines_changed,404_loc,405_file_lines,406_time_of_day,407_day_of_week,408_previous_patches,409_previous_buggy_patches,410_file_age,411_commit_time,412_full_path,413_patch_lines,414_lines_inserted,415_lines_removed,500_Buggy?
13322,167,0,0,168,185,22,0,0,0,0,'2005-04-17 22:58:03+00:00',hw/xfree86/i2c/uda1380.c,290,168,0,0
13327,71,0,0,72,78,22,0,0,0,0,'2005-04-17 22:58:03+00:00',hw/xfree86/i2c/uda1380.h,290,72,0,0
13331,25,0,0,26,30,22,0,0,0,0,'2005-04-17 22:58:03+00:00',hw/xfree86/i2c/uda1380_module.c,0,26,0,0
13337,0,0,2,2,546,12,3,11,5,522,'2005-04-20 12:39:28+00:00',include/os.h,0,1,1,0
13347,1,0,0,1,2330,13,3,2,0,263,'2005-04-20 13:01:55+00:00',fb/fbpseudocolor.c,0,1,0,0
13355,0,0,2,2,786,15,3,10,2,522,'2005-04-20 15:16:36+00:00',xext/xf86bigfont.c,0,1,1,0
13362,0,0,2,4,298,0,4,3,1,523,'2005-04-21 00:31:13+00:00',hw/xfree86/common/atkeynames.h,0,2,2,0
13369,3,0,0,4,722,22,5,10,1,525,'2005-04-22 22:04:37+00:00',hw/xfree86/os-support/xf86_libc.h,0,4,0,0
13380,1,0,6,8,1312,19,6,3,1,526,'2005-04-23 19:16:10+00:00',hw/xfree86/loader/loadmod.c,0,5,3,0
13390,6,0,0,6,789,1,0,15,4,526,'2005-04-24 01:10:12+00:00',dix/main.c,118,6,0,0
13397,3,0,2,5,70,1,0,8,3,526,'2005-04-24 01:10:12+00:00',dix/xpstubs.c,118,4,1,0
13403,3,0,0,4,824,1,0,23,11,526,'2005-04-24 01:10:12+00:00',mi/miinitext.c,118,4,0,0
13409,4,0,0,4,2234,1,0,20,8,526,'2005-04-24 01:10:12+00:00',os/utils.c,0,4,0,0
12675,0,0,6,8,1130,11,1,5,3,450,'2005-02-07 11:56:31+00:00',hw/xfree86/common/xf86str.h,0,4,4,0
12691,0,0,4,4,310,10,2,9,3,451,'2005-02-08 10:15:49+00:00',hw/xwin/winkeybd.h,59,2,2,0
12699,2,1,0,4,204,10,2,2,2,231,'2005-02-08 10:15:49+00:00',hw/xwin/winkeynames.h,0,2,2,1
12710,0,2,0,3,625,22,2,3,1,95,'2005-02-08 22:45:21+00:00',hw/xgl/glx/xglx.c,33,0,3,0
12717,1,0,0,1,552,22,2,6,1,249,'2005-02-08 22:45:21+00:00',hw/xgl/xglpixmap.c,0,1,0,0
12729,4,0,28,35,2998,6,5,10,4,293,'2005-02-11 06:37:38+00:00',hw/xfree86/utils/xorgconfig/xorgconfig.c,0,20,15,0
12738,1,1,0,13,494,19,5,1,1,289,'2005-02-11 19:38:04+00:00',hw/kdrive/fake/fake.c,0,0,0,0
12756,1,0,8,14,175,14,6,10,1,455,'2005-02-12 14:43:07+00:00',hw/xwin/winmsg.c,0,8,6,0
12776,14,0,0,15,1449,14,6,17,5,455,'2005-02-12 14:47:17+00:00',hw/xwin/win.h,785,15,0,0
12784,14,0,9,26,53,14,6,8,2,455,'2005-02-12 14:47:17+00:00',hw/xwin/winfont.c,785,24,2,0
12792,3,0,4,10,205,14,6,8,3,444,'2005-02-12 14:47:17+00:00',hw/xwin/winmultiwindowshape.c,785,7,3,0
12800,27,0,53,108,1012,14,6,15,4,455,'2005-02-12 14:47:17+00:00',hw/xwin/winmultiwindowwindow.c,785,69,39,0
12807,0,0,2,2,682,14,6,8,2,455,'2005-02-12 14:47:17+00:00',hw/xwin/winpfbdd.c,785,1,1,0
12815,0,0,6,6,787,14,6,13,4,455,'2005-02-12 14:47:17+00:00',hw/xwin/winscrinit.c,785,3,3,0
