change_id,commit_id,changed_file
1,6d978d21b0bea6c73b65f2f47c68de4b94dd73c4,hw/kdrive/keyboard.c
2,be2dad5954b8fee09a84f417e41bb65745dadf76,hw/kdrive/src/kasync.c
3,6d978d21b0bea6c73b65f2f47c68de4b94dd73c4,hw/kdrive/linux.c
4,240aeb4cda91d19f5b19ebd7f7d6c1aad19f1642,hw/kdrive/src/kcurscol.c
5,6d978d21b0bea6c73b65f2f47c68de4b94dd73c4,hw/kdrive/ps2.c
6,240aeb4cda91d19f5b19ebd7f7d6c1aad19f1642,hw/kdrive/src/kmode.c
7,306ac1db85c30a796c9a69c639e7f2e4efd98d50,hw/kdrive/savage/s3gc.c
8,306ac1db85c30a796c9a69c639e7f2e4efd98d50,hw/kdrive/src/kasync.c
9,306ac1db85c30a796c9a69c639e7f2e4efd98d50,hw/kdrive/src/kdrive.h
10,306ac1db85c30a796c9a69c639e7f2e4efd98d50,hw/kdrive/trident/trident.c
11,325fb002e8832a05361516bbaf19d1e8b67a3486,hw/kdrive/src/kcmap.c
12,325fb002e8832a05361516bbaf19d1e8b67a3486,hw/kdrive/src/kdrive.c
13,325fb002e8832a05361516bbaf19d1e8b67a3486,hw/kdrive/src/kmode.c
14,325fb002e8832a05361516bbaf19d1e8b67a3486,hw/kdrive/src/vga.c
15,325fb002e8832a05361516bbaf19d1e8b67a3486,hw/kdrive/src/vga.h
16,a6d519e527a81341ad333cb25b410dfde07176ae,hw/kdrive/igs/Imakefile
17,a6d519e527a81341ad333cb25b410dfde07176ae,hw/kdrive/igs/igs.c
18,a6d519e527a81341ad333cb25b410dfde07176ae,hw/kdrive/igs/igs.h
19,a6d519e527a81341ad333cb25b410dfde07176ae,hw/kdrive/igs/igscmap.c
20,a6d519e527a81341ad333cb25b410dfde07176ae,hw/kdrive/igs/igscurs.c
21,a6d519e527a81341ad333cb25b410dfde07176ae,hw/kdrive/igs/igsdraw.c
22,f32448679118b77825625aafdc4d6ae4d636cc21,hw/kdrive/linux/linux.c
23,a6d519e527a81341ad333cb25b410dfde07176ae,hw/kdrive/igs/igsdraw.h
24,f32448679118b77825625aafdc4d6ae4d636cc21,hw/kdrive/src/kpict.c
25,a6d519e527a81341ad333cb25b410dfde07176ae,hw/kdrive/igs/igsreg.c
26,a6d519e527a81341ad333cb25b410dfde07176ae,hw/kdrive/igs/igsreg.h
27,83a388c96d665b6bfb0ae195c8c74e0e1520ab8f,hw/kdrive/Imakefile
28,a6d519e527a81341ad333cb25b410dfde07176ae,hw/kdrive/igs/igsstub.c
29,4223801110c8d5873dd668880dff411765dfc18d,hw/kdrive/savage/s3.c
30,83a388c96d665b6bfb0ae195c8c74e0e1520ab8f,hw/kdrive/linux/linux.c
31,4223801110c8d5873dd668880dff411765dfc18d,hw/kdrive/savage/s3.h
32,83a388c96d665b6bfb0ae195c8c74e0e1520ab8f,hw/kdrive/src/kasync.c
33,4223801110c8d5873dd668880dff411765dfc18d,hw/kdrive/savage/s3cmap.c
34,83a388c96d665b6bfb0ae195c8c74e0e1520ab8f,hw/kdrive/src/kdrive.c
35,4223801110c8d5873dd668880dff411765dfc18d,hw/kdrive/savage/s3draw.c
36,83a388c96d665b6bfb0ae195c8c74e0e1520ab8f,hw/kdrive/src/kdrive.h
37,4223801110c8d5873dd668880dff411765dfc18d,hw/kdrive/savage/s3draw.h
38,83a388c96d665b6bfb0ae195c8c74e0e1520ab8f,hw/kdrive/src/kinput.c
39,4223801110c8d5873dd668880dff411765dfc18d,hw/kdrive/savage/s3gc.c
40,3095deed7701a1a14be85dff4a6994028b5a6d09,hw/kdrive/vesa/Imakefile
41,3095deed7701a1a14be85dff4a6994028b5a6d09,hw/kdrive/vesa/Xvesa.man
42,83a388c96d665b6bfb0ae195c8c74e0e1520ab8f,hw/kdrive/src/kpict.c
43,4223801110c8d5873dd668880dff411765dfc18d,hw/kdrive/sis530/sis.c
44,3095deed7701a1a14be85dff4a6994028b5a6d09,hw/kdrive/vesa/vbe.c
45,77331f967077ca2fefbfb117c7e9bc2bf65b5e31,hw/kdrive/vesa/vbe.c
46,83a388c96d665b6bfb0ae195c8c74e0e1520ab8f,hw/kdrive/trident/trident.c
47,3095deed7701a1a14be85dff4a6994028b5a6d09,hw/kdrive/vesa/vbe.h
48,4223801110c8d5873dd668880dff411765dfc18d,hw/kdrive/sis530/sis.h
49,3095deed7701a1a14be85dff4a6994028b5a6d09,hw/kdrive/vesa/vesa.c
50,77331f967077ca2fefbfb117c7e9bc2bf65b5e31,hw/kdrive/vesa/vbe.h
51,83a388c96d665b6bfb0ae195c8c74e0e1520ab8f,hw/kdrive/trident/tridentdraw.c
52,3095deed7701a1a14be85dff4a6994028b5a6d09,hw/kdrive/vesa/vesa.h
53,4223801110c8d5873dd668880dff411765dfc18d,hw/kdrive/sis530/sisdraw.c
54,3095deed7701a1a14be85dff4a6994028b5a6d09,hw/kdrive/vesa/vesainit.c
55,77331f967077ca2fefbfb117c7e9bc2bf65b5e31,hw/kdrive/vesa/vesa.c
56,4223801110c8d5873dd668880dff411765dfc18d,hw/kdrive/sis530/sisstub.c
57,77331f967077ca2fefbfb117c7e9bc2bf65b5e31,hw/kdrive/vesa/vesa.h
58,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/fbdev/fbdev.c
59,4223801110c8d5873dd668880dff411765dfc18d,hw/kdrive/trio/s3.c
60,77331f967077ca2fefbfb117c7e9bc2bf65b5e31,hw/kdrive/vesa/vesainit.c
61,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/fbdev/fbdev.h
62,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/igs/Imakefile
63,38059656849a5bab5b56b23359a90aca4ba396c7,hw/kdrive/trident/Imakefile
64,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/igs/igs.c
65,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/igs/igs.h
66,38059656849a5bab5b56b23359a90aca4ba396c7,hw/kdrive/trident/trident.c
67,db1a883d32ce8138dde288d32c11e147cdfc81a0,hw/kdrive/src/kshadow.c
68,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/igs/igsdraw.c
69,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/Imakefile
70,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/igs/igsdraw.h
71,38059656849a5bab5b56b23359a90aca4ba396c7,hw/kdrive/trident/trident.h
72,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/fbdev/Imakefile
73,5ec29fe9ea788e0dcc47534a2eca479b2c465160,hw/kdrive/src/kshadow.c
74,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/igs/igsstub.c
75,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/fbdev/fbdev.c
76,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/savage/s3.c
77,30e35cb44b6ea11d0eac8ce0d986517f3224852a,hw/kdrive/Imakefile
78,38059656849a5bab5b56b23359a90aca4ba396c7,hw/kdrive/trident/tridentcurs.c
79,f7421d836186cd6dfb919c5a48d556a68d6c5a5d,hw/kdrive/fbdev/fbdev.c
80,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/fbdev/fbdev.h
81,5ec29fe9ea788e0dcc47534a2eca479b2c465160,hw/kdrive/vesa/vbe.c
82,c97fb611dd7dedef6d075ef9d56f3d32c8018d39,hw/kdrive/Kdrive.tmpl
83,4b54f22b6accf438f31fbbe79877545c38375351,hw/kdrive/fbdev/fbdev.c
84,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/fbdev/fbinit.c
85,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/savage/s3.h
86,30e35cb44b6ea11d0eac8ce0d986517f3224852a,hw/kdrive/fbdev/fbdev.c
87,c97fb611dd7dedef6d075ef9d56f3d32c8018d39,hw/kdrive/fbdev/Imakefile
88,38059656849a5bab5b56b23359a90aca4ba396c7,hw/kdrive/trident/tridentstub.c
89,f7421d836186cd6dfb919c5a48d556a68d6c5a5d,hw/kdrive/fbdev/fbdev.h
90,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/itsy/Imakefile
91,5ec29fe9ea788e0dcc47534a2eca479b2c465160,hw/kdrive/vesa/vbe.h
92,4b54f22b6accf438f31fbbe79877545c38375351,hw/kdrive/fbdev/fbdev.h
93,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/itsy/itsy.c
