change_id,401_lines_added,402_lines_deleted,403_lines_changed,404_loc,405_file_lines,406_time_of_day,407_day_of_week,408_previous_patches,409_previous_buggy_patches,410_file_age,411_commit_time,412_full_path,413_patch_lines,414_lines_inserted,415_lines_removed,500_Buggy?
43484,1,0,6,8,0,13,3,23,17,528,'2008-05-14 13:34:52+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/itemmanager.java,0,7,1,0
43500,35,19,31,96,906,12,4,2,1,149,'2008-05-15 12:52:06+00:00',jackrabbit-spi-commons/src/main/java/org/apache/jackrabbit/spi/commons/value/qvaluefactoryimpl.java,512,68,28,0
43511,0,0,2,2,188,12,4,2,0,149,'2008-05-15 12:52:06+00:00',jackrabbit-spi-commons/src/main/java/org/apache/jackrabbit/spi/commons/value/valuefactoryqimpl.java,512,1,1,0
43520,2,1,4,11,186,12,4,2,0,149,'2008-05-15 12:52:06+00:00',jackrabbit-spi-commons/src/main/java/org/apache/jackrabbit/spi/commons/value/valueformat.java,512,6,5,0
43529,0,0,6,8,79,12,4,1,1,40,'2008-05-15 12:52:06+00:00',jackrabbit-spi-commons/src/test/java/org/apache/jackrabbit/spi/commons/nodetype/booleanconstrainttest.java,512,4,4,0
43537,71,1,32,109,349,12,4,1,1,149,'2008-05-15 12:52:06+00:00',jackrabbit-spi-commons/src/test/java/org/apache/jackrabbit/spi/commons/value/qvaluetest.java,512,90,19,0
43546,11,2,0,16,129,12,4,3,3,267,'2008-05-15 12:52:06+00:00',jackrabbit-spi/src/main/java/org/apache/jackrabbit/spi/qvalue.java,512,13,3,0
43555,9,1,0,11,131,12,4,7,5,267,'2008-05-15 12:52:06+00:00',jackrabbit-spi/src/main/java/org/apache/jackrabbit/spi/qvaluefactory.java,0,10,1,0
43571,0,0,2,2,0,14,5,5,1,530,'2008-05-16 14:13:09+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/nodetype/itemdefinitionimpl.java,383,1,1,0
43577,4,0,2,8,0,14,5,5,2,530,'2008-05-16 14:13:09+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/nodetype/nodedefinitionimpl.java,383,7,1,0
43583,163,0,0,164,0,14,5,0,0,0,'2008-05-16 14:13:09+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/nodetype/nodetypedefinitionimpl.java,383,164,0,0
43587,7,4,22,46,0,14,5,5,3,225,'2008-05-16 14:13:09+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/nodetype/nodetypetemplateimpl.java,383,32,14,0
43594,0,0,2,2,0,14,5,3,1,530,'2008-05-16 14:13:09+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/nodetype/propertydefinitionimpl.java,383,1,1,0
43599,16,0,0,17,0,14,5,8,4,530,'2008-05-16 14:13:09+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/nodetype/compact/compactnodetypedefreader.java,0,17,0,0
43610,43,0,0,44,468,7,4,5,4,63,'2008-05-22 07:11:50+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/defaultsecuritymanager.java,285,44,0,1
43616,8,0,17,27,1633,7,4,35,26,535,'2008-05-22 07:11:50+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/sessionimpl.java,285,10,17,0
