change_id,413_patch_lines,402_lines_deleted,408_previous_patches,414_lines_inserted,403_lines_changed,409_previous_buggy_patches,415_lines_removed,404_loc,410_file_age,405_file_lines,411_commit_time,406_time_of_day,412_full_path,401_lines_added,407_day_of_week,500_Buggy?
53173,218,0,132,76,2,24,1,77,1181,3591,'2005-10-05 09:20:16+00:00',9,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/classpathtests.java,73,3,0
53186,218,0,75,20,0,10,0,20,1582,870,'2005-10-05 09:20:16+00:00',9,org.eclipse.jdt.core/model/org/eclipse/jdt/core/ijavaproject.java,19,3,0
53192,0,0,350,46,0,52,0,46,1582,3042,'2005-10-05 09:20:16+00:00',9,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/javaproject.java,45,3,0
53200,0,0,16,2,2,2,1,3,1583,172,'2005-10-05 17:34:09+00:00',17,org.eclipse.jdt.core/model/org/eclipse/jdt/core/iclassfile.java,0,3,0
53227,0,1,319,3,4,146,3,6,1584,9408,'2005-10-06 23:55:14+00:00',23,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/parser/parser.java,1,4,0
53238,119,0,33,54,0,11,0,54,1136,6268,'2005-10-07 01:04:23+00:00',1,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/parser/dietrecoverytest.java,51,5,0
53252,0,0,19,9,9,10,1,10,462,470,'2005-10-07 01:04:23+00:00',1,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/ast/foreachstatement.java,0,5,1
53262,0,0,142,6,8,9,6,12,1183,2076,'2005-10-07 13:45:47+00:00',13,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/abstractjavamodeltests.java,0,5,0
53272,80,0,368,38,0,114,0,38,464,25895,'2005-10-08 13:34:36+00:00',13,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/generictypetest.java,37,6,0
53283,0,0,88,1,0,19,0,1,1585,724,'2005-10-08 13:34:36+00:00',13,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/compilationunitscope.java,1,6,0
53303,2685,0,116,11,22,47,11,22,770,5721,'2005-10-11 07:40:11+00:00',7,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/annotationtest.java,0,2,0
53310,2685,0,40,1,2,10,1,2,466,3464,'2005-10-11 07:40:11+00:00',7,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/compliance_1_5.java,0,2,0
53316,2685,0,88,6,12,44,6,12,354,4214,'2005-10-11 07:40:11+00:00',7,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/enumtest.java,0,2,0
53324,2685,0,22,1,2,12,1,2,466,2045,'2005-10-11 07:40:11+00:00',7,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/foreachstatementtest.java,0,2,0
53330,2685,0,370,263,526,115,263,526,466,25933,'2005-10-11 07:40:11+00:00',7,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/generictypetest.java,0,2,0
53338,2685,0,58,42,84,16,42,84,328,4238,'2005-10-11 07:40:11+00:00',7,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/methodverifytest.java,0,2,0
53355,584,0,22,2,0,1,0,2,1146,489,'2005-10-12 12:05:59+00:00',12,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/utiltest.java,1,3,0
53363,584,0,54,15,13,11,2,17,1082,3152,'2005-10-12 12:05:59+00:00',12,org.eclipse.jdt.core/compiler/org/eclipse/jdt/core/compiler/charoperation.java,1,3,0
53370,584,50,158,20,26,83,65,85,1589,3678,'2005-10-12 12:05:59+00:00',12,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/parser/scanner.java,0,3,0
53375,584,0,5,150,206,3,97,247,234,207,'2005-10-12 12:05:59+00:00',12,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/parser/scannerhelper.java,38,3,0
