change_id,401_lines_added,402_lines_deleted,403_lines_changed,404_loc,405_file_lines,406_time_of_day,407_day_of_week,408_previous_patches,409_previous_buggy_patches,410_file_age,411_commit_time,412_full_path,413_patch_lines,414_lines_inserted,415_lines_removed,500_Buggy?
11797,0,0,2,2,1563,18,2,23,13,243,'2010-11-16 18:34:16+00:00',lucene/src/java/org/apache/lucene/index/documentswriter.java,940,1,1,0
11805,42,2,42,100,301,18,2,4,2,35,'2010-11-16 18:34:16+00:00',lucene/src/java/org/apache/lucene/index/values/bytes.java,940,81,19,1
11813,3,3,22,33,267,18,2,3,3,35,'2010-11-16 18:34:16+00:00',lucene/src/java/org/apache/lucene/index/values/fixedderefbytesimpl.java,940,10,23,1
11822,1,19,94,139,263,18,2,3,2,35,'2010-11-16 18:34:16+00:00',lucene/src/java/org/apache/lucene/index/values/fixedsortedbytesimpl.java,940,56,83,1
11832,0,6,13,23,226,18,2,3,3,35,'2010-11-16 18:34:16+00:00',lucene/src/java/org/apache/lucene/index/values/fixedstraightbytesimpl.java,940,5,18,0
11839,1,7,26,40,260,18,2,3,3,35,'2010-11-16 18:34:16+00:00',lucene/src/java/org/apache/lucene/index/values/varderefbytesimpl.java,940,11,29,1
11847,1,8,37,57,349,18,2,4,4,35,'2010-11-16 18:34:16+00:00',lucene/src/java/org/apache/lucene/index/values/varsortedbytesimpl.java,940,13,44,1
11856,1,11,27,49,238,18,2,3,3,35,'2010-11-16 18:34:16+00:00',lucene/src/java/org/apache/lucene/index/values/varstraightbytesimpl.java,0,18,31,1
12272,1,0,2,3,132,11,4,2,1,14,'2010-11-25 11:05:40+00:00',lucene/src/java/org/apache/lucene/index/segmentcodecs.java,29,2,1,0
12286,0,0,5,7,554,11,5,9,4,253,'2010-11-26 11:25:42+00:00',lucene/src/java/org/apache/lucene/index/termvectorsreader.java,92,4,3,1
12294,0,0,11,13,293,11,5,5,3,253,'2010-11-26 11:25:42+00:00',lucene/src/java/org/apache/lucene/index/termvectorstermswriter.java,92,7,6,1
12303,32,0,0,33,2964,11,5,67,34,253,'2010-11-26 11:25:42+00:00',lucene/src/test/org/apache/lucene/index/testindexwriter.java,0,33,0,0
12317,0,0,2,2,64,22,0,1,1,199,'2010-11-28 22:16:29+00:00',lucene/contrib/misc/src/java/org/apache/lucene/misc/getterminfo.java,0,1,1,0
12326,0,0,4,5,158,21,1,11,6,139,'2010-11-29 21:01:19+00:00',lucene/src/test/org/apache/lucene/index/randomindexwriter.java,99,4,1,0
12333,0,0,37,45,168,21,1,14,8,257,'2010-11-29 21:01:19+00:00',lucene/src/test/org/apache/lucene/search/basetestrangefilter.java,99,34,11,1
12342,0,0,4,5,535,21,1,7,4,98,'2010-11-29 21:01:19+00:00',lucene/src/test/org/apache/lucene/store/mockdirectorywrapper.java,0,4,1,0
12131,0,0,4,6,169,19,5,12,7,227,'2010-11-19 19:20:47+00:00',lucene/src/java/org/apache/lucene/index/codecs/codecprovider.java,0,3,3,0
12142,2,1,14,20,709,23,5,11,10,247,'2010-11-19 23:18:59+00:00',lucene/src/java/org/apache/lucene/index/segmentmerger.java,0,13,7,0
12154,0,0,2,4,226,18,6,7,4,247,'2010-11-20 18:46:55+00:00',lucene/contrib/misc/src/java/org/apache/lucene/index/multipassindexsplitter.java,516,2,2,0
12163,0,1,4,6,168,18,6,12,2,247,'2010-11-20 18:46:55+00:00',lucene/contrib/queries/src/test/org/apache/lucene/search/booleanfiltertest.java,516,2,4,0
12172,0,1,4,6,88,18,6,10,3,247,'2010-11-20 18:46:55+00:00',lucene/contrib/queries/src/test/org/apache/lucene/search/termsfiltertest.java,516,2,4,0
12181,0,18,6,28,90,18,6,4,3,100,'2010-11-20 18:46:55+00:00',lucene/src/java/org/apache/lucene/index/slowmultireaderwrapper.java,516,4,24,1
12190,0,7,4,13,178,18,6,12,5,247,'2010-11-20 18:46:55+00:00',lucene/src/test/org/apache/lucene/index/testfilterindexreader.java,516,2,11,0
12199,0,0,12,16,1841,18,6,21,16,247,'2010-11-20 18:46:55+00:00',lucene/src/test/org/apache/lucene/index/testindexreader.java,516,7,9,0
12207,0,0,10,11,296,18,6,15,6,247,'2010-11-20 18:46:55+00:00',lucene/src/test/org/apache/lucene/search/testcachingwrapperfilter.java,516,5,6,0
12216,0,0,4,4,490,18,6,12,3,247,'2010-11-20 18:46:55+00:00',lucene/src/test/org/apache/lucene/search/testdisjunctionmaxquery.java,516,2,2,0
12224,0,0,9,11,325,18,6,19,8,247,'2010-11-20 18:46:55+00:00',lucene/src/test/org/apache/lucene/search/testpositionincrement.java,516,5,6,0
12233,0,0,2,2,81,18,6,10,2,247,'2010-11-20 18:46:55+00:00',lucene/src/test/org/apache/lucene/search/testspanqueryfilter.java,516,1,1,0
12240,0,0,4,4,174,18,6,12,3,247,'2010-11-20 18:46:55+00:00',lucene/src/test/org/apache/lucene/search/testtermscorer.java,516,2,2,0
12248,0,0,4,4,141,18,6,11,4,247,'2010-11-20 18:46:55+00:00',lucene/src/test/org/apache/lucene/search/payloads/payloadhelper.java,516,2,2,0
12257,0,0,4,4,339,18,6,13,6,247,'2010-11-20 18:46:55+00:00',lucene/src/test/org/apache/lucene/search/payloads/testpayloadtermquery.java,516,2,2,0
12266,0,0,2,4,567,18,6,17,7,247,'2010-11-20 18:46:55+00:00',lucene/src/test/org/apache/lucene/search/spans/testbasics.java,516,2,2,0
12275,0,0,4,4,349,18,6,11,3,247,'2010-11-20 18:46:55+00:00',lucene/src/test/org/apache/lucene/search/spans/testfieldmaskingspanquery.java,516,2,2,0
12283,0,0,4,4,186,18,6,11,3,247,'2010-11-20 18:46:55+00:00',lucene/src/test/org/apache/lucene/search/spans/testnearspansordered.java,516,2,2,0
12291,0,0,16,22,537,18,6,13,3,247,'2010-11-20 18:46:55+00:00',lucene/src/test/org/apache/lucene/search/spans/testpayloadspans.java,516,11,11,0
12300,0,0,10,10,492,18,6,11,4,247,'2010-11-20 18:46:55+00:00',lucene/src/test/org/apache/lucene/search/spans/testspans.java,0,5,5,0
12312,0,0,2,4,1020,11,0,46,23,255,'2010-11-28 11:08:43+00:00',lucene/src/test/org/apache/lucene/util/lucenetestcase.java,103,2,2,0
11987,1,0,0,1,137,14,2,11,6,257,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/docfieldprocessor.java,1542,1,0,0
11997,0,0,4,4,1563,14,2,24,13,257,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/documentswriter.java,1542,2,2,0
12006,1,0,2,3,753,14,2,14,11,257,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/segmentmerger.java,1542,2,1,0
12015,4,0,2,6,95,14,2,6,4,257,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/segmentwritestate.java,1542,5,1,0
12024,0,0,2,2,82,14,2,6,3,237,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/codecs/fieldsconsumer.java,1542,1,1,0
12033,1,0,2,3,294,14,2,4,2,35,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/codecs/docvalues/docvaluescodec.java,1542,2,1,0
12042,10,0,4,15,96,14,2,4,3,35,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/codecs/docvalues/docvaluesconsumer.java,1542,13,2,0
12051,1,2,20,25,413,14,2,7,4,49,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/values/bytes.java,1542,12,13,0
12060,0,1,8,12,186,14,2,4,4,35,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/values/docvalues.java,1542,5,7,0
12069,3,0,12,18,264,14,2,5,5,49,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/values/fixedderefbytesimpl.java,1542,11,7,0
12077,2,9,6,19,244,14,2,5,4,49,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/values/fixedsortedbytesimpl.java,1542,6,13,0
12085,0,0,4,4,226,14,2,5,4,49,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/values/fixedstraightbytesimpl.java,1542,2,2,0
12094,2,1,22,29,487,14,2,6,5,49,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/values/floats.java,1542,15,14,0
12103,1,0,4,5,41,14,2,3,3,49,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/values/ints.java,1542,3,2,0
12112,0,3,8,12,276,14,2,4,3,35,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/values/multidocvalues.java,1542,4,8,0
12121,3,2,16,24,301,14,2,5,5,49,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/values/packedintsimpl.java,1542,12,12,0
12129,0,0,2,4,47,14,2,3,1,49,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/values/values.java,1542,2,2,0
12138,10,4,39,68,261,14,2,6,6,49,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/values/varderefbytesimpl.java,1542,42,26,0
12146,2,11,6,22,326,14,2,6,6,49,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/values/varsortedbytesimpl.java,1542,6,16,0
12155,0,0,4,4,226,14,2,5,5,49,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/values/varstraightbytesimpl.java,1542,2,2,0
12164,4,0,20,25,112,14,2,4,3,49,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/index/values/writer.java,1542,15,10,0
12173,19,8,60,109,612,14,2,8,2,59,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/util/bytesrefhash.java,1542,55,54,0
12182,19,2,0,24,90,14,2,1,0,49,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/util/floatsref.java,1542,21,3,0
12191,19,2,10,34,90,14,2,1,0,49,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/util/longsref.java,1542,26,8,0
12200,1,0,11,14,347,14,2,7,5,179,'2010-11-30 14:45:45+00:00',lucene/src/java/org/apache/lucene/util/pagedbytes.java,1542,10,4,0
12208,1,0,2,3,619,14,2,19,5,237,'2010-11-30 14:45:45+00:00',lucene/src/test/org/apache/lucene/index/testcodecs.java,1542,2,1,0
12217,4,0,6,14,317,14,2,2,2,17,'2010-11-30 14:45:45+00:00',lucene/src/test/org/apache/lucene/index/values/testdocvalues.java,1542,11,3,0
12226,40,0,29,73,472,14,2,3,2,17,'2010-11-30 14:45:45+00:00',lucene/src/test/org/apache/lucene/index/values/testdocvaluesindexing.java,1542,67,6,1
12242,0,0,2,3,557,19,2,4,0,250,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/schema/fieldtype.java,772,2,1,0
12251,1,0,10,13,175,19,2,4,1,250,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/schema/sortabledoublefield.java,772,11,2,0
12260,1,0,10,13,172,19,2,4,1,250,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/schema/sortablefloatfield.java,772,11,2,0
12269,1,0,10,13,173,19,2,4,1,250,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/schema/sortableintfield.java,772,11,2,0
12278,1,0,10,13,169,19,2,4,1,250,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/schema/sortablelongfield.java,772,11,2,0
12285,0,0,4,4,61,19,2,1,1,94,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/search/mutablevalue.java,772,2,2,0
12293,1,0,2,3,32,19,2,1,0,94,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/search/mutablevaluedate.java,772,2,1,0
12301,1,0,15,19,53,19,2,1,0,94,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/search/mutablevaluedouble.java,772,14,5,0
12309,1,0,14,18,52,19,2,1,0,94,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/search/mutablevaluefloat.java,772,13,5,0
12318,3,0,14,22,64,19,2,1,1,94,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/search/mutablevalueint.java,772,15,7,1
12327,1,0,17,22,56,19,2,2,0,94,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/search/mutablevaluelong.java,772,14,8,0
12334,0,0,16,20,56,19,2,1,0,94,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/search/mutablevaluestr.java,772,14,6,0
12343,3,0,0,3,159,19,2,4,0,250,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/search/function/doublefieldsource.java,772,3,0,0
12350,3,0,2,5,95,19,2,3,0,250,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/search/function/floatfieldsource.java,772,4,1,0
12357,3,0,0,3,137,19,2,4,0,250,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/search/function/intfieldsource.java,772,3,0,0
12365,3,0,0,3,142,19,2,5,1,250,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/search/function/longfieldsource.java,772,3,0,0
12372,19,0,0,21,105,19,2,3,2,250,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/search/function/ordfieldsource.java,772,21,0,1
12380,0,0,3,4,121,19,2,4,0,250,'2010-11-23 19:34:32+00:00',solr/src/java/org/apache/solr/search/function/stringindexdocvalues.java,772,3,1,0
12387,14,0,12,28,1024,19,2,22,7,249,'2010-11-23 19:34:32+00:00',solr/src/test/org/apache/solr/solrtestcasej4.java,772,22,6,0
12395,0,0,12,14,572,19,2,13,5,94,'2010-11-23 19:34:32+00:00',solr/src/test/org/apache/solr/testgroupingsearch.java,0,7,7,1
11985,0,2,0,2,135,22,2,2,1,42,'2010-11-23 22:33:50+00:00',lucene/src/java/org/apache/lucene/document/valuesfield.java,3277,0,2,0
11995,1,0,5,10,133,22,2,10,6,251,'2010-11-23 22:33:50+00:00',lucene/src/java/org/apache/lucene/index/docfieldprocessor.java,3277,7,3,0
12003,0,4,0,6,431,22,2,9,8,251,'2010-11-23 22:33:50+00:00',lucene/src/java/org/apache/lucene/index/fieldinfos.java,3277,0,6,0
12012,0,6,0,8,245,22,2,5,5,251,'2010-11-23 22:33:50+00:00',lucene/src/java/org/apache/lucene/index/indexfilenames.java,3277,0,8,0
12021,0,1,0,1,132,22,2,4,1,13,'2010-11-23 22:33:50+00:00',lucene/src/java/org/apache/lucene/index/segmentcodecs.java,3277,0,1,0
12030,12,9,59,94,296,22,2,3,2,28,'2010-11-23 22:33:50+00:00',lucene/src/java/org/apache/lucene/index/codecs/docvalues/docvaluescodec.java,3277,46,48,0
12039,118,0,0,119,0,22,2,0,0,0,'2010-11-23 22:33:50+00:00',lucene/src/java/org/apache/lucene/index/codecs/docvalues/docvaluescodecinfo.java,3277,119,0,0
12044,0,1,2,5,97,22,2,3,3,28,'2010-11-23 22:33:50+00:00',lucene/src/java/org/apache/lucene/index/codecs/docvalues/docvaluesconsumer.java,3277,2,3,0
12053,3,1,11,20,99,22,2,3,3,28,'2010-11-23 22:33:50+00:00',lucene/src/java/org/apache/lucene/index/codecs/docvalues/docvaluesproducerbase.java,3277,10,10,0
12062,25,3,69,110,363,22,2,6,3,42,'2010-11-23 22:33:50+00:00',lucene/src/java/org/apache/lucene/index/values/bytes.java,3277,80,30,1
12071,45,0,24,79,137,22,2,3,3,28,'2010-11-23 22:33:50+00:00',lucene/src/java/org/apache/lucene/index/values/docvalues.java,3277,64,15,1
12080,12,3,36,60,254,22,2,4,4,42,'2010-11-23 22:33:50+00:00',lucene/src/java/org/apache/lucene/index/values/fixedderefbytesimpl.java,3277,35,25,1
12089,9,1,6,20,236,22,2,4,3,42,'2010-11-23 22:33:50+00:00',lucene/src/java/org/apache/lucene/index/values/fixedsortedbytesimpl.java,3277,14,6,1
