change_id,401_lines_added,402_lines_deleted,403_lines_changed,404_loc,405_file_lines,406_time_of_day,407_day_of_week,408_previous_patches,409_previous_buggy_patches,410_file_age,411_commit_time,412_full_path,413_patch_lines,414_lines_inserted,415_lines_removed,500_Buggy?
35638,5,7,2,18,110,14,4,1,0,283,'2007-09-13 14:09:57+00:00',jackrabbit-jcr-tests/src/main/java/org/apache/jackrabbit/test/api/version/getreferencesnodetest.java,70,7,11,0
35651,0,1,5,9,435,13,5,21,9,429,'2007-09-14 13:34:17+00:00',contrib/spi/jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/version/versionhistoryimpl.java,30,4,5,1
35662,3,0,0,4,0,10,2,8,7,288,'2007-09-18 10:03:08+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/searchmanager.java,0,4,0,0
35674,0,2,0,3,0,12,2,15,8,289,'2007-09-18 12:27:42+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/xpath/xpathquerybuilder.java,0,0,3,0
35689,16,0,26,43,704,13,3,1,1,191,'2007-09-19 13:07:50+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/persistence/bundle/abstractbundlepersistencemanager.java,635,30,13,1
35699,96,0,0,101,1342,13,3,17,13,191,'2007-09-19 13:07:50+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/persistence/bundle/bundledbpersistencemanager.java,635,101,0,1
35709,5,0,102,109,679,13,3,2,1,191,'2007-09-19 13:07:50+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/persistence/bundle/bundlefspersistencemanager.java,635,108,1,1
35719,1,0,28,35,412,13,3,1,1,4,'2007-09-19 13:07:50+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/persistence/bundle/util/connectionrecoverymanager.java,635,17,18,1
35731,0,0,2,2,214,13,3,3,3,191,'2007-09-19 13:07:50+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/persistence/bundle/util/dbnameindex.java,635,1,1,0
35741,115,0,0,116,134,13,3,0,0,0,'2007-09-19 13:07:50+00:00',jackrabbit-core/src/test/java/org/apache/jackrabbit/core/data/persistencemanageriteratortest.java,635,116,0,1
35745,1,0,0,1,41,13,3,2,2,8,'2007-09-19 13:07:50+00:00',jackrabbit-core/src/test/java/org/apache/jackrabbit/core/data/testall.java,635,1,0,1
35774,0,2,0,3,297,22,1,5,2,98,'2007-09-24 22:19:48+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/main/java/org/apache/jackrabbit/ocm/manager/collectionconverter/impl/ntcollectionconverterimpl.java,2608,0,3,0
35782,0,3,4,9,1268,22,1,5,0,98,'2007-09-24 22:19:48+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/main/java/org/apache/jackrabbit/ocm/manager/impl/objectcontentmanagerimpl.java,2608,2,7,0
35791,0,0,6,10,807,22,1,5,3,98,'2007-09-24 22:19:48+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/main/java/org/apache/jackrabbit/ocm/manager/objectconverter/impl/objectconverterimpl.java,2608,5,5,0
35801,115,0,0,116,116,22,1,0,0,0,'2007-09-24 22:19:48+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/main/java/org/apache/jackrabbit/ocm/repository/nodeutil.java,2608,116,0,0
35806,0,296,0,297,227,22,1,4,1,137,'2007-09-24 22:19:48+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/main/java/org/apache/jackrabbit/ocm/repository/repositoryutil.java,2608,0,297,0
35811,0,163,0,164,164,22,1,2,0,137,'2007-09-24 22:19:48+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/main/java/org/apache/jackrabbit/ocm/security/simpleaccessmanager.java,2608,0,164,0
35814,0,220,0,221,221,22,1,2,0,137,'2007-09-24 22:19:48+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/main/java/org/apache/jackrabbit/ocm/security/simpleloginmodule.java,2608,0,221,0
35819,0,212,0,213,213,22,1,2,0,137,'2007-09-24 22:19:48+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/main/java/org/apache/jackrabbit/ocm/transaction/jackrabbit/usertransactionimpl.java,2608,0,213,0
35825,2,0,0,2,287,22,1,5,2,137,'2007-09-24 22:19:48+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/testbase.java,2608,2,0,0
35834,1,0,0,1,46,22,1,2,0,137,'2007-09-24 22:19:48+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/repository/alltests.java,2608,1,0,0
35842,124,0,0,125,124,22,1,0,0,0,'2007-09-24 22:19:48+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/repository/nodeutiltest.java,2608,125,0,0
35847,226,0,0,227,227,22,1,0,0,0,'2007-09-24 22:19:48+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/repository/repositoryutil.java,2608,227,0,0
35852,0,46,0,48,248,22,1,4,0,137,'2007-09-24 22:19:48+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/repository/repositoryutiltest.java,2608,0,48,0
35861,163,0,0,164,164,22,1,0,0,0,'2007-09-24 22:19:48+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/security/simpleaccessmanager.java,2608,164,0,0
35867,220,0,0,221,221,22,1,0,0,0,'2007-09-24 22:19:48+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/security/simpleloginmodule.java,2608,221,0,0
35872,212,0,0,213,213,22,1,0,0,0,'2007-09-24 22:19:48+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/transaction/jackrabbit/usertransactionimpl.java,0,213,0,0
35877,6,0,0,7,0,13,2,1,1,41,'2007-10-02 13:40:30+00:00',jackrabbit-spi/src/main/java/org/apache/jackrabbit/spi/idfactory.java,0,7,0,1
35888,0,0,17,22,0,8,3,1,0,287,'2007-10-03 08:04:37+00:00',jackrabbit-text-extractors/src/main/java/org/apache/jackrabbit/extractor/openofficetextextractor.java,0,12,10,0
35901,0,0,21,22,0,15,3,1,0,216,'2007-10-03 15:37:33+00:00',contrib/spi/client/src/test/java/org/apache/jackrabbit/jcr2spi/reordermovetest.java,0,10,12,0
35916,18,0,0,20,326,15,3,1,0,304,'2007-10-03 15:57:30+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/nodetype/nodetypedef.java,838,20,0,0
35927,168,0,0,169,0,15,3,0,0,0,'2007-10-03 15:57:30+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/nodetype/nodetypetemplateimpl.java,838,169,0,1
35933,66,0,0,67,0,15,3,0,0,0,'2007-10-03 15:57:30+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/nodetype/jsr283/invalidnodetypedefinitionexception.java,838,67,0,0
35938,91,0,0,92,0,15,3,0,0,0,'2007-10-03 15:57:30+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/nodetype/jsr283/nodedefinitiontemplate.java,838,92,0,1
35944,152,0,0,153,0,15,3,0,0,0,'2007-10-03 15:57:30+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/nodetype/jsr283/nodetypedefinition.java,838,153,0,1
35948,50,0,0,51,0,15,3,0,0,0,'2007-10-03 15:57:30+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/nodetype/jsr283/nodetypeexistsexception.java,838,51,0,0
35953,102,0,0,103,0,15,3,0,0,0,'2007-10-03 15:57:30+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/nodetype/jsr283/nodetypetemplate.java,838,103,0,1
35958,98,0,0,99,0,15,3,0,0,0,'2007-10-03 15:57:30+00:00',jackrabbit-core/src/main/java/org/apache/jackrabbit/core/nodetype/jsr283/propertydefinitiontemplate.java,838,99,0,1
36004,0,0,2,3,825,20,0,7,3,111,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/main/java/org/apache/jackrabbit/ocm/manager/objectconverter/impl/objectconverterimpl.java,9031,2,1,0
36013,1,0,2,4,190,20,0,1,0,31,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/main/java/org/apache/jackrabbit/ocm/mapper/impl/abstractmapperimpl.java,9031,3,1,0
36021,4,1,15,24,336,20,0,3,2,12,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/main/java/org/apache/jackrabbit/ocm/mapper/impl/annotation/annotationdescriptorreader.java,9031,11,13,0
36030,3,0,0,4,64,20,0,2,0,12,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/main/java/org/apache/jackrabbit/ocm/mapper/impl/annotation/collection.java,9031,4,0,0
36037,25,0,0,31,82,20,0,2,0,9,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/annotationtestbase.java,9031,31,0,0
36043,0,0,15,17,50,20,0,2,0,111,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/basic/alltests.java,9031,12,5,0
36052,175,0,0,176,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/basic/annotationavoidrecursivelooptest.java,9031,176,0,0
36055,294,0,0,295,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/basic/annotationcopymovetest.java,9031,295,0,0
36058,163,0,0,164,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/basic/annotationremovetest.java,9031,164,0,0
36061,230,0,0,231,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/basic/annotationsamenamesiblingtest.java,9031,231,0,0
36065,220,0,0,221,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/basic/annotationsimpletest.java,9031,221,0,0
36068,158,0,0,159,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/basic/digesteravoidrecursivelooptest.java,9031,159,0,0
36071,294,0,0,295,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/basic/digestercopymovetest.java,9031,295,0,0
36074,163,0,0,164,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/basic/digesterremovetest.java,9031,164,0,0
36078,230,0,0,231,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/basic/digestersamenamesiblingtest.java,9031,231,0,0
36081,220,0,0,221,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/basic/digestersimpletest.java,9031,221,0,0
36087,0,158,0,159,158,20,0,2,1,110,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/basic/objectcontentmanageravoidrecursivelooptest.java,9031,0,159,0
36093,0,294,0,295,294,20,0,2,1,110,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/basic/objectcontentmanagercopymovetest.java,9031,0,295,0
36098,0,163,0,164,163,20,0,2,1,110,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/basic/objectcontentmanagerremovetest.java,9031,0,164,0
36104,0,230,0,231,230,20,0,3,1,110,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/basic/objectcontentmanagersamenamesiblingtest.java,9031,0,231,0
36109,0,220,0,221,220,20,0,2,1,110,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/basic/objectcontentmanagertest.java,9031,0,221,0
36115,0,0,2,3,50,20,0,2,0,111,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/beanconverter/alltests.java,9031,2,1,0
36126,288,0,0,289,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/beanconverter/annotationbeandescriptortest.java,9031,289,0,0
36133,0,304,0,305,305,20,0,3,1,111,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/beanconverter/beandescriptortest.java,9031,0,305,0
36139,289,0,0,290,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/beanconverter/digesterbeandescriptortest.java,9031,290,0,0
36146,4,0,0,5,108,20,0,2,0,111,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/beanconverter/fakebeanconverter.java,9031,5,0,0
36157,0,0,20,22,50,20,0,2,0,111,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/collectionconverter/alltests.java,9031,15,7,0
36169,163,0,0,164,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/collectionconverter/annotationarraylisttest.java,9031,164,0,0
36175,310,0,0,311,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/collectionconverter/annotationdefaultcollectionconverterimpltest.java,9031,311,0,0
36182,162,0,0,163,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/collectionconverter/annotationhashmaptest.java,9031,163,0,0
36188,132,0,0,133,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/collectionconverter/annotationmultivaluecollectionconverterimpltest.java,9031,133,0,0
36195,151,0,0,152,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/collectionconverter/annotationntcollectionconverterimpltest.java,9031,152,0,0
36201,147,0,0,148,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/collectionconverter/annotationresidualnodescollectionconverterimpltest.java,9031,148,0,0
36207,161,0,0,162,0,20,0,0,0,0,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/collectionconverter/annotationresidualpropertiescollectionconverterimpltest.java,9031,162,0,0
36212,0,167,0,168,167,20,0,3,1,111,'2007-10-07 20:54:52+00:00',contrib/jackrabbit-jcr-mapping/jcr-mapping/src/test/java/org/apache/jackrabbit/ocm/manager/collectionconverter/arraylisttest.java,9031,0,168,0
