change_id,401_lines_added,402_lines_deleted,403_lines_changed,404_loc,405_file_lines,406_time_of_day,407_day_of_week,408_previous_patches,409_previous_buggy_patches,410_file_age,411_commit_time,412_full_path,413_patch_lines,414_lines_inserted,415_lines_removed,500_Buggy?
13430,1,0,2,5,133,14,1,13,3,534,'2005-05-02 14:07:31+00:00',hw/xwin/winerror.c,0,3,2,0
13442,0,0,2,2,1873,4,3,10,5,536,'2005-05-04 04:14:58+00:00',hw/xfree86/common/compiler.h,49,1,1,0
13448,0,0,2,4,1470,4,3,5,1,536,'2005-05-04 04:14:58+00:00',hw/xfree86/loader/loader.c,49,2,2,0
13456,0,0,2,2,434,4,3,9,2,536,'2005-05-04 04:14:58+00:00',hw/xfree86/os-support/bus/pci.h,0,1,1,0
13466,3,0,0,4,124,0,2,2,0,542,'2005-05-10 00:12:17+00:00',hw/xfree86/os-support/shared/at_scancode.c,0,4,0,0
13475,203,109,93,429,596,14,3,8,1,539,'2005-05-18 14:24:14+00:00',miext/rootless/safealpha/safealphapicture.c,0,238,191,0
13485,8,0,0,9,1828,20,3,6,4,300,'2005-05-18 20:49:31+00:00',fb/fbmmx.c,0,9,0,0
13496,0,0,2,2,434,7,6,10,2,553,'2005-05-21 07:46:38+00:00',hw/xfree86/os-support/bus/pci.h,670,1,1,0
13453,67,128,4201,4778,2870,23,0,11,2,541,'2005-05-08 23:34:15+00:00',fb/fbcompose.c,6256,2506,2272,1
13459,32,14,2,51,1298,23,0,15,4,541,'2005-05-08 23:34:15+00:00',fb/fbpict.c,6256,35,16,0
13467,13,61,685,790,1069,23,0,14,3,541,'2005-05-08 23:34:15+00:00',fb/fbpict.h,0,126,664,1
13477,0,0,2,3,1078,15,3,11,1,550,'2005-05-18 15:38:50+00:00',hw/xfree86/vbe/vbe.c,0,2,1,0
13487,0,0,2,2,1837,1,4,7,5,300,'2005-05-19 01:25:02+00:00',fb/fbmmx.c,0,1,1,0
13505,1,0,2,4,1464,12,3,19,5,557,'2005-05-25 12:14:29+00:00',hw/xwin/win.h,50,3,1,0
13513,2,0,0,2,1404,12,3,15,7,557,'2005-05-25 12:14:29+00:00',hw/xwin/winmultiwindowwm.c,0,2,0,0
